data_lancamento,tipo,categoria,subcategoria,descricao,cliente_fornecedor,centro_custo,valor,data_vencimento,data_pagamento,status,conta
2025-01-06,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Atlas,RH,1748.22,2025-01-11,2025-01-06,Pago,Conta Digital
2025-01-06,Despesa,Operacional,Aluguel,Aluguel do escritório,Fornecedor Central,Financeiro,7386.37,2025-01-16,2025-01-11,Pago,Conta Corrente
2025-01-07,Despesa,Operacional,Aluguel,Aluguel do escritório,Fornecedor Prime,RH,7406.65,2025-03-08,2025-03-08,Pago,Conta Corrente
2025-01-08,Receita,Serviços,Consultoria,Consultoria estratégica,Cliente Delta,Consultoria,7143.9,2025-01-18,2025-01-13,Recebido,Conta Corrente
2025-01-09,Despesa,Administrativa,Serviços Terceirizados,Serviços contábeis,Fornecedor Prime,Comercial,1215.08,2025-02-08,2025-02-07,Pago,Conta Digital
2025-01-09,Despesa,Impostos,Tributos,Impostos e contribuições,Fornecedor Beta,TI,7502.02,2025-01-19,2025-01-14,Pago,Conta Investimento
2025-01-09,Receita,Serviços,Projetos,Projeto de análise,Cliente Beta,Projetos,3453.49,2025-02-08,2025-02-06,Recebido,Conta Digital
2025-01-10,Receita,Serviços,Consultoria,Consultoria empresarial,Cliente Delta,Comercial,1967.94,2025-01-15,2025-01-15,Recebido,Conta Corrente
2025-01-10,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Beta,Comercial,1835.85,2025-01-20,2025-01-19,Recebido,Conta Investimento
2025-01-12,Receita,Serviços,Projetos,Projeto de análise,Cliente Gama,Projetos,33537.36,2025-01-27,,Cancelado,Conta Corrente
2025-01-12,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Delta,Projetos,2984.52,2025-01-27,2025-01-25,Recebido,Conta Corrente
2025-01-13,Receita,Serviços,Projetos,Projeto de análise,Cliente Ômega,Projetos,4774.07,2025-02-12,,Em aberto,Conta Corrente
2025-01-13,Despesa,Comercial,Marketing,Material institucional,Fornecedor Prime,Comercial,693.39,2025-02-12,2025-02-12,Pago,Conta Investimento
2025-01-13,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Prime,Financeiro,3102.23,2025-02-27,2025-02-27,Pago,Conta Digital
2025-01-14,Despesa,Comercial,Marketing,Material institucional,Fornecedor Beta,Operacional,448.67,2025-02-03,2025-01-29,Pago,Conta Investimento
2025-01-14,Despesa,Impostos,Tributos,Impostos e contribuições,Fornecedor Atlas,RH,7248.92,2025-02-13,2025-02-10,Pago,Conta Corrente
2025-01-15,Despesa,Operacional,Software,Licença de software,Fornecedor Beta,Administrativo,481.87,2025-01-30,2025-01-27,Pago,Conta Investimento
2025-01-15,Despesa,Operacional,Software,Licença de software,Fornecedor Atlas,Administrativo,1548.75,2025-01-30,,Em aberto,Conta Corrente
2025-01-16,Despesa,Operacional,Energia,Conta de energia,Fornecedor Central,Operacional,1044.05,2025-01-26,2025-01-21,Pago,Conta Digital
2025-01-17,Despesa,Pessoal,Benefícios,Plano de benefícios,Fornecedor Atlas,TI,203.96,2025-03-03,2025-03-02,Pago,Conta Corrente
2025-01-18,Despesa,Operacional,Software,Licença de software,Fornecedor Prime,Administrativo,670.81,2025-01-28,,Em aberto,Conta Digital
2025-01-19,Receita,Serviços,Consultoria,Consultoria estratégica,Cliente Alpha,Projetos,5963.06,2025-02-08,2025-02-07,Recebido,Conta Investimento
2025-01-19,Receita,Serviços,Projetos,Projeto de análise,Cliente Alpha,Projetos,11305.2,2025-01-24,2025-01-23,Recebido,Conta Digital
2025-01-20,Despesa,Impostos,Tributos,Impostos e contribuições,Fornecedor Beta,Comercial,9944.36,2025-02-09,2025-02-08,Pago,Conta Digital
2025-01-20,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Gama,Projetos,7370.47,2025-01-25,2025-01-22,Recebido,Conta Corrente
2025-01-21,Despesa,Operacional,Energia,Conta de energia,Fornecedor Beta,TI,931.0,2025-03-07,2025-03-05,Pago,Conta Digital
2025-01-21,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Alpha,Projetos,10327.17,2025-02-20,2025-02-20,Recebido,Conta Investimento
2025-01-22,Despesa,Administrativa,Serviços Terceirizados,Suporte técnico,Fornecedor Beta,TI,1040.07,2025-03-08,2025-03-03,Pago,Conta Investimento
2025-01-22,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Atlas,RH,2679.73,2025-01-27,2025-01-25,Pago,Conta Corrente
2025-01-23,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Atlas,Comercial,16706.85,2025-02-07,2025-02-07,Pago,Conta Digital
2025-01-23,Despesa,Pessoal,Benefícios,Plano de benefícios,Fornecedor Digital,Comercial,1903.09,2025-02-07,2025-02-07,Pago,Conta Corrente
2025-01-25,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Beta,Comercial,8187.34,2025-02-09,2025-02-09,Recebido,Conta Digital
2025-01-26,Receita,Serviços,Projetos,Projeto de implantação,Cliente Gama,Consultoria,4103.52,2025-01-31,2025-01-28,Recebido,Conta Digital
2025-01-27,Despesa,Administrativa,Serviços Terceirizados,Serviços contábeis,Fornecedor Central,RH,841.82,2025-02-16,,Cancelado,Conta Digital
2025-01-28,Despesa,Pessoal,Benefícios,Vale transporte,Fornecedor Central,TI,637.16,2025-02-07,,Atrasado,Conta Corrente
2025-01-28,Receita,Serviços,Projetos,Projeto de implantação,Cliente Ômega,Projetos,3711.94,2025-02-27,2025-02-27,Recebido,Conta Digital
2025-01-28,Receita,Serviços,Projetos,Projeto de melhoria de processos,Cliente Gama,Projetos,29618.85,2025-02-27,,Em aberto,Conta Digital
2025-01-29,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Digital,Operacional,2806.75,2025-02-18,2025-02-17,Pago,Conta Digital
2025-01-29,Despesa,Pessoal,Benefícios,Plano de benefícios,Fornecedor Prime,TI,903.47,2025-02-08,2025-02-06,Pago,Conta Investimento
2025-02-02,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Beta,Projetos,7132.26,2025-02-12,2025-02-07,Recebido,Conta Digital
2025-02-02,Despesa,Comercial,Marketing,Material institucional,Fornecedor Atlas,Comercial,229.0,2025-02-22,,Cancelado,Conta Investimento
2025-02-02,Despesa,Operacional,Software,Licença de software,Fornecedor Central,RH,153.19,2025-03-04,,Em aberto,Conta Digital
2025-02-03,Despesa,Operacional,Software,Sistemas corporativos,Fornecedor Atlas,Operacional,350.07,2025-02-18,2025-02-15,Pago,Conta Digital
2025-02-04,Receita,Serviços,Consultoria,Consultoria empresarial,Cliente Alpha,Consultoria,6025.35,2025-02-19,,Atrasado,Conta Corrente
2025-02-04,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Gama,Consultoria,3933.9,2025-02-09,2025-02-04,Recebido,Conta Investimento
2025-02-04,Despesa,Operacional,Energia,Conta de energia,Fornecedor Atlas,TI,955.74,2025-02-19,,Em aberto,Conta Corrente
2025-02-04,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Ômega,Projetos,8656.52,2025-03-06,,Em aberto,Conta Investimento
2025-02-04,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Delta,Comercial,7879.96,2025-02-14,2025-02-14,Recebido,Conta Investimento
2025-02-05,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Beta,Operacional,3778.56,2025-02-25,2025-02-22,Pago,Conta Corrente
2025-02-05,Receita,Serviços,Projetos,Projeto de melhoria de processos,Cliente Gama,Comercial,4771.18,2025-02-15,2025-02-14,Recebido,Conta Corrente
2025-02-05,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Central,Financeiro,1645.99,2025-03-07,2025-03-04,Pago,Conta Digital
2025-02-06,Receita,Serviços,Projetos,Projeto de melhoria de processos,Cliente Ômega,Consultoria,3646.6,2025-02-21,2025-02-20,Recebido,Conta Corrente
2025-02-06,Despesa,Operacional,Energia,Conta de energia,Fornecedor Prime,Administrativo,1388.66,2025-02-26,,Em aberto,Conta Digital
2025-02-06,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Digital,Comercial,2136.07,2025-03-08,,Atrasado,Conta Digital
2025-02-07,Receita,Serviços,Projetos,Projeto de implantação,Cliente Delta,Projetos,18481.47,2025-04-08,,Em aberto,Conta Digital
2025-02-08,Despesa,Operacional,Energia,Conta de energia,Fornecedor Prime,Comercial,809.32,2025-02-23,,Em aberto,Conta Investimento
2025-02-08,Receita,Serviços,Projetos,Projeto de melhoria de processos,Cliente Alpha,Consultoria,6832.42,2025-02-13,2025-02-12,Recebido,Conta Digital
2025-02-08,Despesa,Pessoal,Benefícios,Vale transporte,Fornecedor Digital,Administrativo,768.99,2025-03-25,2025-03-25,Pago,Conta Investimento
2025-02-08,Receita,Serviços,Consultoria,Consultoria estratégica,Cliente Alpha,Consultoria,10240.0,2025-03-25,2025-03-20,Recebido,Conta Digital
2025-02-08,Receita,Serviços,Projetos,Projeto de melhoria de processos,Cliente Alpha,Projetos,10411.1,2025-02-28,2025-02-26,Recebido,Conta Corrente
2025-02-08,Receita,Serviços,Assessoria,Assessoria financeira,Cliente Delta,Comercial,8219.16,2025-03-10,2025-03-10,Recebido,Conta Corrente
2025-02-10,Despesa,Operacional,Energia,Conta de energia,Fornecedor Prime,Administrativo,665.14,2025-02-25,2025-02-25,Pago,Conta Corrente
2025-02-10,Despesa,Impostos,Tributos,Tributos sobre faturamento,Fornecedor Central,TI,4897.5,2025-03-02,,Cancelado,Conta Corrente
2025-02-10,Despesa,Operacional,Energia,Conta de energia,Fornecedor Atlas,TI,2445.53,2025-02-20,2025-02-20,Pago,Conta Investimento
2025-02-11,Despesa,Administrativa,Serviços Terceirizados,Serviços contábeis,Fornecedor Digital,Financeiro,1911.6,2025-03-13,2025-03-13,Pago,Conta Corrente
2025-02-11,Despesa,Administrativa,Serviços Terceirizados,Serviços jurídicos,Fornecedor Beta,RH,1076.51,2025-03-13,,Em aberto,Conta Corrente
2025-02-12,Despesa,Operacional,Software,Licença de software,Fornecedor Digital,Comercial,700.41,2025-03-04,2025-03-03,Pago,Conta Corrente
2025-02-13,Despesa,Administrativa,Serviços Terceirizados,Serviços jurídicos,Fornecedor Digital,Financeiro,1096.85,2025-03-15,2025-03-12,Pago,Conta Corrente
2025-02-13,Despesa,Comercial,Marketing,Publicidade digital,Fornecedor Central,TI,618.6,2025-02-18,2025-02-13,Pago,Conta Corrente
2025-02-13,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Digital,TI,2802.34,2025-03-15,2025-03-15,Pago,Conta Digital
2025-02-13,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Atlas,Operacional,554.7,2025-02-23,2025-02-18,Pago,Conta Digital
2025-02-14,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Delta,Projetos,7673.17,2025-03-01,2025-03-01,Recebido,Conta Digital
2025-02-15,Despesa,Administrativa,Serviços Terceirizados,Suporte técnico,Fornecedor Digital,Comercial,1014.32,2025-02-20,2025-02-19,Pago,Conta Investimento
2025-02-15,Despesa,Comercial,Marketing,Material institucional,Fornecedor Atlas,Financeiro,668.76,2025-03-17,2025-03-16,Pago,Conta Digital
2025-02-16,Despesa,Operacional,Energia,Conta de energia,Fornecedor Central,Financeiro,1645.07,2025-03-03,2025-03-01,Pago,Conta Investimento
2025-02-16,Despesa,Comercial,Marketing,Publicidade digital,Fornecedor Atlas,TI,1007.01,2025-03-03,2025-03-01,Pago,Conta Digital
2025-02-16,Despesa,Operacional,Energia,Conta de energia,Fornecedor Prime,TI,570.56,2025-04-02,2025-03-30,Pago,Conta Digital
2025-02-17,Receita,Serviços,Projetos,Projeto de análise,Cliente Ômega,Projetos,7025.27,2025-04-03,2025-04-01,Recebido,Conta Corrente
2025-02-17,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Digital,Comercial,20171.2,2025-03-04,,Em aberto,Conta Investimento
2025-02-18,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Prime,Administrativo,11212.03,2025-03-05,2025-03-03,Pago,Conta Digital
2025-02-18,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Central,Comercial,187.85,2025-03-20,2025-03-19,Pago,Conta Digital
2025-02-19,Despesa,Administrativa,Serviços Terceirizados,Suporte técnico,Fornecedor Atlas,Financeiro,1934.38,2025-02-24,,Atrasado,Conta Corrente
2025-02-20,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Atlas,TI,939.37,2025-03-12,2025-03-12,Pago,Conta Corrente
2025-02-20,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Beta,TI,2207.37,2025-03-22,,Em aberto,Conta Digital
2025-02-20,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Gama,Projetos,1249.2,2025-03-07,2025-03-04,Recebido,Conta Digital
2025-02-20,Despesa,Operacional,Energia,Conta de energia,Fornecedor Prime,Comercial,3515.63,2025-03-22,,Em aberto,Conta Investimento
2025-02-21,Despesa,Comercial,Marketing,Material institucional,Fornecedor Digital,Financeiro,724.25,2025-04-22,2025-04-22,Pago,Conta Digital
2025-02-21,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Prime,Operacional,24382.42,2025-03-23,2025-03-23,Pago,Conta Investimento
2025-02-21,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Digital,Operacional,1620.36,2025-03-23,2025-03-22,Pago,Conta Investimento
2025-02-22,Receita,Serviços,Projetos,Projeto de implantação,Cliente Ômega,Projetos,9966.14,2025-03-24,2025-03-19,Recebido,Conta Investimento
2025-02-22,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Beta,Consultoria,8776.79,2025-03-14,,Em aberto,Conta Corrente
2025-02-22,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Gama,Consultoria,3991.1,2025-04-08,,Cancelado,Conta Corrente
2025-02-22,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Atlas,TI,526.43,2025-03-04,2025-02-27,Pago,Conta Digital
2025-02-22,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Beta,Operacional,687.85,2025-03-24,2025-03-19,Pago,Conta Corrente
2025-02-22,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Ômega,Comercial,6238.03,2025-03-04,,Em aberto,Conta Investimento
2025-02-23,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Gama,Projetos,2374.95,2025-03-25,,Em aberto,Conta Digital
2025-02-23,Despesa,Operacional,Software,Licença de software,Fornecedor Prime,Financeiro,1027.81,2025-03-15,2025-03-13,Pago,Conta Digital
2025-02-23,Receita,Serviços,Consultoria,Consultoria financeira,Cliente Gama,Comercial,4195.63,2025-03-10,,Em aberto,Conta Investimento
2025-02-23,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Prime,Operacional,1205.29,2025-03-10,,Em aberto,Conta Investimento
2025-02-23,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Beta,TI,16533.84,2025-02-28,2025-02-27,Pago,Conta Corrente
2025-02-23,Despesa,Administrativa,Serviços Terceirizados,Serviços jurídicos,Fornecedor Atlas,Administrativo,548.34,2025-03-25,2025-03-22,Pago,Conta Digital
2025-02-23,Despesa,Administrativa,Serviços Terceirizados,Serviços contábeis,Fornecedor Beta,Administrativo,507.68,2025-04-09,,Em aberto,Conta Investimento
2025-02-24,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Ômega,Comercial,5324.91,2025-04-25,2025-04-22,Recebido,Conta Corrente
2025-02-26,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Digital,Operacional,2612.34,2025-03-18,2025-03-18,Pago,Conta Investimento
2025-02-27,Receita,Serviços,Assessoria,Assessoria financeira,Cliente Alpha,Consultoria,3207.44,2025-03-19,,Cancelado,Conta Digital
2025-02-27,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Central,RH,22474.98,2025-04-13,2025-04-12,Pago,Conta Investimento
2025-02-27,Despesa,Administrativa,Serviços Terceirizados,Serviços contábeis,Fornecedor Atlas,Comercial,666.25,2025-03-14,2025-03-14,Pago,Conta Corrente
2025-02-27,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Beta,Administrativo,3255.39,2025-04-13,2025-04-11,Pago,Conta Digital
2025-02-27,Despesa,Operacional,Software,Ferramenta de produtividade,Fornecedor Beta,Comercial,663.11,2025-03-04,,Em aberto,Conta Digital
2025-02-27,Despesa,Impostos,Tributos,Tributos sobre faturamento,Fornecedor Central,TI,6572.05,2025-03-19,2025-03-19,Pago,Conta Corrente
2025-02-28,Receita,Serviços,Consultoria,Consultoria financeira,Cliente Ômega,Projetos,26210.21,2025-03-10,2025-03-05,Recebido,Conta Digital
2025-03-01,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Delta,Projetos,9272.04,2025-03-21,2025-03-16,Recebido,Conta Corrente
2025-03-01,Receita,Serviços,Consultoria,Consultoria financeira,Cliente Alpha,Consultoria,5819.15,2025-03-16,2025-03-14,Recebido,Conta Corrente
2025-03-03,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Atlas,RH,1357.07,2025-03-18,2025-03-15,Pago,Conta Digital
2025-03-03,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Gama,Projetos,12828.06,2025-03-23,2025-03-21,Recebido,Conta Corrente
2025-03-03,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Prime,RH,244.45,2025-03-23,,Em aberto,Conta Digital
2025-03-04,Despesa,Comercial,Marketing,Material institucional,Fornecedor Beta,Financeiro,1176.64,2025-03-09,,Em aberto,Conta Investimento
2025-03-04,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Beta,Comercial,4358.81,2025-04-03,2025-04-03,Recebido,Conta Corrente
2025-03-04,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Prime,RH,513.3,2025-03-24,2025-03-21,Pago,Conta Corrente
2025-03-04,Despesa,Operacional,Energia,Conta de energia,Fornecedor Digital,TI,455.12,2025-03-19,,Atrasado,Conta Digital
2025-03-06,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Ômega,Comercial,3116.26,2025-03-26,2025-03-26,Recebido,Conta Corrente
2025-03-06,Despesa,Impostos,Tributos,Impostos e contribuições,Fornecedor Prime,Financeiro,3153.32,2025-03-26,2025-03-23,Pago,Conta Corrente
2025-03-06,Despesa,Operacional,Software,Ferramenta de produtividade,Fornecedor Prime,Comercial,648.02,2025-04-20,,Em aberto,Conta Investimento
2025-03-07,Despesa,Operacional,Software,Sistemas corporativos,Fornecedor Prime,RH,1689.22,2025-03-17,,Em aberto,Conta Corrente
2025-03-07,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Prime,Financeiro,3304.18,2025-03-22,2025-03-22,Pago,Conta Investimento
2025-03-09,Receita,Serviços,Projetos,Projeto de implantação,Cliente Beta,Comercial,20336.28,2025-03-19,2025-03-17,Recebido,Conta Digital
2025-03-10,Despesa,Pessoal,Benefícios,Vale transporte,Fornecedor Digital,Administrativo,1878.49,2025-04-09,,Atrasado,Conta Corrente
2025-03-10,Despesa,Operacional,Energia,Conta de energia,Fornecedor Atlas,Comercial,961.3,2025-04-09,,Atrasado,Conta Investimento
2025-03-10,Receita,Serviços,Consultoria,Consultoria estratégica,Cliente Ômega,Projetos,15797.59,2025-03-20,2025-03-17,Recebido,Conta Digital
2025-03-11,Despesa,Comercial,Marketing,Material institucional,Fornecedor Digital,RH,703.24,2025-04-10,2025-04-05,Pago,Conta Corrente
2025-03-13,Despesa,Operacional,Energia,Conta de energia,Fornecedor Digital,Administrativo,743.76,2025-04-12,2025-04-09,Pago,Conta Corrente
2025-03-13,Despesa,Impostos,Tributos,Impostos e contribuições,Fornecedor Digital,Operacional,8445.19,2025-03-28,,Em aberto,Conta Corrente
2025-03-15,Receita,Serviços,Consultoria,Consultoria estratégica,Cliente Delta,Projetos,7097.71,2025-03-30,2025-03-29,Recebido,Conta Investimento
2025-03-16,Despesa,Comercial,Marketing,Publicidade digital,Fornecedor Beta,Comercial,2026.62,2025-03-31,,Em aberto,Conta Digital
2025-03-16,Despesa,Impostos,Tributos,Tributos sobre faturamento,Fornecedor Digital,Financeiro,7425.47,2025-04-30,2025-04-29,Pago,Conta Digital
2025-03-16,Receita,Serviços,Assessoria,Assessoria financeira,Cliente Beta,Projetos,9554.1,2025-03-21,2025-03-19,Recebido,Conta Investimento
2025-03-17,Despesa,Operacional,Software,Licença de software,Fornecedor Prime,RH,599.36,2025-04-06,,Em aberto,Conta Digital
2025-03-17,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Digital,Administrativo,521.39,2025-04-06,2025-04-01,Pago,Conta Investimento
2025-03-17,Receita,Serviços,Projetos,Projeto de análise,Cliente Gama,Projetos,3196.07,2025-03-27,2025-03-25,Recebido,Conta Digital
2025-03-19,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Atlas,Administrativo,1389.15,2025-04-18,,Atrasado,Conta Investimento
2025-03-21,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Prime,Financeiro,19395.53,2025-05-05,2025-04-30,Pago,Conta Corrente
2025-03-22,Despesa,Operacional,Software,Licença de software,Fornecedor Prime,RH,1111.57,2025-05-21,,Em aberto,Conta Investimento
2025-03-22,Despesa,Administrativa,Serviços Terceirizados,Serviços contábeis,Fornecedor Prime,Financeiro,198.17,2025-04-21,2025-04-16,Pago,Conta Corrente
2025-03-22,Receita,Serviços,Projetos,Projeto de melhoria de processos,Cliente Delta,Consultoria,3855.94,2025-04-06,,Em aberto,Conta Investimento
2025-03-23,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Alpha,Comercial,6562.91,2025-04-07,,Em aberto,Conta Digital
2025-03-24,Despesa,Comercial,Marketing,Material institucional,Fornecedor Central,Administrativo,658.5,2025-04-23,2025-04-22,Pago,Conta Digital
2025-03-25,Despesa,Pessoal,Benefícios,Plano de benefícios,Fornecedor Digital,RH,973.62,2025-04-14,2025-04-11,Pago,Conta Corrente
2025-03-26,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Gama,Projetos,8627.75,2025-04-10,2025-04-07,Recebido,Conta Corrente
2025-03-27,Despesa,Pessoal,Benefícios,Vale alimentação,Fornecedor Central,RH,1104.0,2025-04-26,2025-04-21,Pago,Conta Corrente
2025-03-27,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Digital,Comercial,432.21,2025-04-06,2025-04-04,Pago,Conta Digital
2025-03-29,Despesa,Pessoal,Benefícios,Plano de benefícios,Fornecedor Atlas,Operacional,1262.84,2025-04-28,2025-04-28,Pago,Conta Digital
2025-03-30,Despesa,Administrativa,Serviços Terceirizados,Serviços contábeis,Fornecedor Central,Operacional,482.92,2025-04-14,2025-04-14,Pago,Conta Corrente
2025-03-30,Receita,Serviços,Projetos,Projeto de análise,Cliente Beta,Projetos,5657.97,2025-04-19,,Em aberto,Conta Investimento
2025-03-31,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Central,Financeiro,1289.91,2025-04-30,2025-04-27,Pago,Conta Digital
2025-03-31,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Beta,TI,1339.52,2025-04-30,2025-04-30,Pago,Conta Digital
2025-03-31,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Beta,Consultoria,2167.67,2025-04-30,2025-04-28,Recebido,Conta Digital
2025-04-01,Receita,Serviços,Projetos,Projeto de implantação,Cliente Gama,Consultoria,7483.09,2025-05-01,2025-04-26,Recebido,Conta Investimento
2025-04-02,Despesa,Pessoal,Benefícios,Plano de benefícios,Fornecedor Beta,RH,93.2,2025-04-12,,Cancelado,Conta Investimento
2025-04-02,Despesa,Impostos,Tributos,Tributos sobre faturamento,Fornecedor Prime,Comercial,2865.21,2025-05-02,,Em aberto,Conta Digital
2025-04-02,Despesa,Operacional,Energia,Conta de energia,Fornecedor Beta,RH,360.24,2025-04-12,2025-04-10,Pago,Conta Corrente
2025-04-03,Despesa,Operacional,Software,Sistemas corporativos,Fornecedor Atlas,RH,1030.42,2025-05-03,,Atrasado,Conta Corrente
2025-04-04,Despesa,Operacional,Aluguel,Aluguel do escritório,Fornecedor Beta,Comercial,7619.89,2025-04-14,,Atrasado,Conta Investimento
2025-04-05,Despesa,Administrativa,Serviços Terceirizados,Serviços jurídicos,Fornecedor Beta,RH,748.85,2025-04-10,2025-04-05,Pago,Conta Investimento
2025-04-05,Despesa,Operacional,Aluguel,Aluguel do escritório,Fornecedor Beta,Comercial,8098.39,2025-05-20,,Em aberto,Conta Investimento
2025-04-05,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Beta,Consultoria,11047.53,2025-04-10,2025-04-05,Recebido,Conta Digital
2025-04-06,Receita,Serviços,Assessoria,Assessoria financeira,Cliente Gama,Projetos,8059.53,2025-04-21,,Em aberto,Conta Corrente
2025-04-06,Receita,Serviços,Consultoria,Consultoria empresarial,Cliente Gama,Projetos,5894.94,2025-04-21,2025-04-19,Recebido,Conta Investimento
2025-04-06,Despesa,Operacional,Software,Ferramenta de produtividade,Fornecedor Atlas,RH,736.77,2025-05-06,,Atrasado,Conta Investimento
2025-04-06,Despesa,Impostos,Tributos,Tributos sobre faturamento,Fornecedor Central,TI,2627.11,2025-04-21,2025-04-16,Pago,Conta Digital
