data_lancamento,tipo,categoria,subcategoria,descricao,cliente_fornecedor,centro_custo,valor,data_vencimento,data_pagamento,status,conta,ano,mes,mes_nome,trimestre,valor_receita,valor_despesa,resultado,em_aberto,pago_recebido,atrasado,dias_para_pagamento,dias_atraso
2025-01-15,Despesa,Operacional,Software,Licença de software,Fornecedor Atlas,Administrativo,1548.75,2025-01-30,,Em Aberto,Conta Corrente,2025,1,January,T1,0.0,1548.75,-1548.75,True,False,False,,0
2025-01-16,Despesa,Operacional,Energia,Conta de energia,Fornecedor Central,Operacional,1044.05,2025-01-26,2025-01-21,Pago,Conta Digital,2025,1,January,T1,0.0,1044.05,-1044.05,False,True,False,-5.0,0
2025-01-17,Despesa,Pessoal,Benefícios,Plano de benefícios,Fornecedor Atlas,TI,203.96,2025-03-03,2025-03-02,Pago,Conta Corrente,2025,1,January,T1,0.0,203.96,-203.96,False,True,False,-1.0,0
2025-01-18,Despesa,Operacional,Software,Licença de software,Fornecedor Prime,Administrativo,670.81,2025-01-28,,Em Aberto,Conta Digital,2025,1,January,T1,0.0,670.81,-670.81,True,False,False,,0
2025-01-19,Receita,Serviços,Consultoria,Consultoria estratégica,Cliente Alpha,Projetos,5963.06,2025-02-08,2025-02-07,Recebido,Conta Investimento,2025,1,January,T1,5963.06,0.0,5963.06,False,True,False,-1.0,0
2025-01-19,Receita,Serviços,Projetos,Projeto de análise,Cliente Alpha,Projetos,11305.2,2025-01-24,2025-01-23,Recebido,Conta Digital,2025,1,January,T1,11305.2,0.0,11305.2,False,True,False,-1.0,0
2025-01-20,Despesa,Impostos,Tributos,Impostos e contribuições,Fornecedor Beta,Comercial,9944.36,2025-02-09,2025-02-08,Pago,Conta Digital,2025,1,January,T1,0.0,9944.36,-9944.36,False,True,False,-1.0,0
2025-01-20,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Gama,Projetos,7370.47,2025-01-25,2025-01-22,Recebido,Conta Corrente,2025,1,January,T1,7370.47,0.0,7370.47,False,True,False,-3.0,0
2025-01-21,Despesa,Operacional,Energia,Conta de energia,Fornecedor Beta,TI,931.0,2025-03-07,2025-03-05,Pago,Conta Digital,2025,1,January,T1,0.0,931.0,-931.0,False,True,False,-2.0,0
2025-01-21,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Alpha,Projetos,10327.17,2025-02-20,2025-02-20,Recebido,Conta Investimento,2025,1,January,T1,10327.17,0.0,10327.17,False,True,False,0.0,0
2025-01-22,Despesa,Administrativa,Serviços Terceirizados,Suporte técnico,Fornecedor Beta,TI,1040.07,2025-03-08,2025-03-03,Pago,Conta Investimento,2025,1,January,T1,0.0,1040.07,-1040.07,False,True,False,-5.0,0
2025-01-22,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Atlas,RH,2679.73,2025-01-27,2025-01-25,Pago,Conta Corrente,2025,1,January,T1,0.0,2679.73,-2679.73,False,True,False,-2.0,0
2025-01-23,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Atlas,Comercial,16706.85,2025-02-07,2025-02-07,Pago,Conta Digital,2025,1,January,T1,0.0,16706.85,-16706.85,False,True,False,0.0,0
2025-01-23,Despesa,Pessoal,Benefícios,Plano de benefícios,Fornecedor Digital,Comercial,1903.09,2025-02-07,2025-02-07,Pago,Conta Corrente,2025,1,January,T1,0.0,1903.09,-1903.09,False,True,False,0.0,0
2025-01-25,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Beta,Comercial,8187.34,2025-02-09,2025-02-09,Recebido,Conta Digital,2025,1,January,T1,8187.34,0.0,8187.34,False,True,False,0.0,0
2025-01-26,Receita,Serviços,Projetos,Projeto de implantação,Cliente Gama,Consultoria,4103.52,2025-01-31,2025-01-28,Recebido,Conta Digital,2025,1,January,T1,4103.52,0.0,4103.52,False,True,False,-3.0,0
2025-01-27,Despesa,Administrativa,Serviços Terceirizados,Serviços contábeis,Fornecedor Central,RH,841.82,2025-02-16,,Cancelado,Conta Digital,2025,1,January,T1,0.0,841.82,-841.82,False,False,False,,0
2025-01-28,Despesa,Pessoal,Benefícios,Vale transporte,Fornecedor Central,TI,637.16,2025-02-07,,Atrasado,Conta Corrente,2025,1,January,T1,0.0,637.16,-637.16,True,False,True,,0
2025-01-28,Receita,Serviços,Projetos,Projeto de implantação,Cliente Ômega,Projetos,3711.94,2025-02-27,2025-02-27,Recebido,Conta Digital,2025,1,January,T1,3711.94,0.0,3711.94,False,True,False,0.0,0
2025-01-28,Receita,Serviços,Projetos,Projeto de melhoria de processos,Cliente Gama,Projetos,29618.85,2025-02-27,,Em Aberto,Conta Digital,2025,1,January,T1,29618.85,0.0,29618.85,True,False,False,,0
2025-01-29,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Digital,Operacional,2806.75,2025-02-18,2025-02-17,Pago,Conta Digital,2025,1,January,T1,0.0,2806.75,-2806.75,False,True,False,-1.0,0
2025-01-29,Despesa,Pessoal,Benefícios,Plano de benefícios,Fornecedor Prime,TI,903.47,2025-02-08,2025-02-06,Pago,Conta Investimento,2025,1,January,T1,0.0,903.47,-903.47,False,True,False,-2.0,0
2025-02-02,Despesa,Comercial,Marketing,Material institucional,Fornecedor Atlas,Comercial,229.0,2025-02-22,,Cancelado,Conta Investimento,2025,2,February,T1,0.0,229.0,-229.0,False,False,False,,0
2025-02-02,Despesa,Operacional,Software,Licença de software,Fornecedor Central,RH,153.19,2025-03-04,,Em Aberto,Conta Digital,2025,2,February,T1,0.0,153.19,-153.19,True,False,False,,0
2025-02-02,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Beta,Projetos,7132.26,2025-02-12,2025-02-07,Recebido,Conta Digital,2025,2,February,T1,7132.26,0.0,7132.26,False,True,False,-5.0,0
2025-02-03,Despesa,Operacional,Software,Sistemas corporativos,Fornecedor Atlas,Operacional,350.07,2025-02-18,2025-02-15,Pago,Conta Digital,2025,2,February,T1,0.0,350.07,-350.07,False,True,False,-3.0,0
2025-02-04,Despesa,Operacional,Energia,Conta de energia,Fornecedor Atlas,TI,955.74,2025-02-19,,Em Aberto,Conta Corrente,2025,2,February,T1,0.0,955.74,-955.74,True,False,False,,0
2025-02-04,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Gama,Consultoria,3933.9,2025-02-09,2025-02-04,Recebido,Conta Investimento,2025,2,February,T1,3933.9,0.0,3933.9,False,True,False,-5.0,0
2025-02-04,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Ômega,Projetos,8656.52,2025-03-06,,Em Aberto,Conta Investimento,2025,2,February,T1,8656.52,0.0,8656.52,True,False,False,,0
2025-02-04,Receita,Serviços,Consultoria,Consultoria empresarial,Cliente Alpha,Consultoria,6025.35,2025-02-19,,Atrasado,Conta Corrente,2025,2,February,T1,6025.35,0.0,6025.35,True,False,True,,0
2025-02-04,Receita,Serviços,Assessoria,Assessoria mensal,Cliente Delta,Comercial,7879.96,2025-02-14,2025-02-14,Recebido,Conta Investimento,2025,2,February,T1,7879.96,0.0,7879.96,False,True,False,0.0,0
2025-02-05,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Central,Financeiro,1645.99,2025-03-07,2025-03-04,Pago,Conta Digital,2025,2,February,T1,0.0,1645.99,-1645.99,False,True,False,-3.0,0
2025-02-05,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Beta,Operacional,3778.56,2025-02-25,2025-02-22,Pago,Conta Corrente,2025,2,February,T1,0.0,3778.56,-3778.56,False,True,False,-3.0,0
2025-02-05,Receita,Serviços,Projetos,Projeto de melhoria de processos,Cliente Gama,Comercial,4771.18,2025-02-15,2025-02-14,Recebido,Conta Corrente,2025,2,February,T1,4771.18,0.0,4771.18,False,True,False,-1.0,0
2025-02-06,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Digital,Comercial,2136.07,2025-03-08,,Atrasado,Conta Digital,2025,2,February,T1,0.0,2136.07,-2136.07,True,False,True,,0
2025-02-06,Despesa,Operacional,Energia,Conta de energia,Fornecedor Prime,Administrativo,1388.66,2025-02-26,,Em Aberto,Conta Digital,2025,2,February,T1,0.0,1388.66,-1388.66,True,False,False,,0
2025-02-06,Receita,Serviços,Projetos,Projeto de melhoria de processos,Cliente Ômega,Consultoria,3646.6,2025-02-21,2025-02-20,Recebido,Conta Corrente,2025,2,February,T1,3646.6,0.0,3646.6,False,True,False,-1.0,0
2025-02-07,Receita,Serviços,Projetos,Projeto de implantação,Cliente Delta,Projetos,18481.47,2025-04-08,,Em Aberto,Conta Digital,2025,2,February,T1,18481.47,0.0,18481.47,True,False,False,,0
2025-02-08,Despesa,Operacional,Energia,Conta de energia,Fornecedor Prime,Comercial,809.32,2025-02-23,,Em Aberto,Conta Investimento,2025,2,February,T1,0.0,809.32,-809.32,True,False,False,,0
2025-02-08,Despesa,Pessoal,Benefícios,Vale transporte,Fornecedor Digital,Administrativo,768.99,2025-03-25,2025-03-25,Pago,Conta Investimento,2025,2,February,T1,0.0,768.99,-768.99,False,True,False,0.0,0
2025-02-08,Receita,Serviços,Projetos,Projeto de melhoria de processos,Cliente Alpha,Consultoria,6832.42,2025-02-13,2025-02-12,Recebido,Conta Digital,2025,2,February,T1,6832.42,0.0,6832.42,False,True,False,-1.0,0
2025-02-08,Receita,Serviços,Consultoria,Consultoria estratégica,Cliente Alpha,Consultoria,10240.0,2025-03-25,2025-03-20,Recebido,Conta Digital,2025,2,February,T1,10240.0,0.0,10240.0,False,True,False,-5.0,0
2025-02-08,Receita,Serviços,Projetos,Projeto de melhoria de processos,Cliente Alpha,Projetos,10411.1,2025-02-28,2025-02-26,Recebido,Conta Corrente,2025,2,February,T1,10411.1,0.0,10411.1,False,True,False,-2.0,0
2025-02-08,Receita,Serviços,Assessoria,Assessoria financeira,Cliente Delta,Comercial,8219.16,2025-03-10,2025-03-10,Recebido,Conta Corrente,2025,2,February,T1,8219.16,0.0,8219.16,False,True,False,0.0,0
2025-02-10,Despesa,Impostos,Tributos,Tributos sobre faturamento,Fornecedor Central,TI,4897.5,2025-03-02,,Cancelado,Conta Corrente,2025,2,February,T1,0.0,4897.5,-4897.5,False,False,False,,0
2025-02-10,Despesa,Operacional,Energia,Conta de energia,Fornecedor Prime,Administrativo,665.14,2025-02-25,2025-02-25,Pago,Conta Corrente,2025,2,February,T1,0.0,665.14,-665.14,False,True,False,0.0,0
2025-02-10,Despesa,Operacional,Energia,Conta de energia,Fornecedor Atlas,TI,2445.53,2025-02-20,2025-02-20,Pago,Conta Investimento,2025,2,February,T1,0.0,2445.53,-2445.53,False,True,False,0.0,0
2025-02-11,Despesa,Administrativa,Serviços Terceirizados,Serviços contábeis,Fornecedor Digital,Financeiro,1911.6,2025-03-13,2025-03-13,Pago,Conta Corrente,2025,2,February,T1,0.0,1911.6,-1911.6,False,True,False,0.0,0
2025-02-11,Despesa,Administrativa,Serviços Terceirizados,Serviços jurídicos,Fornecedor Beta,RH,1076.51,2025-03-13,,Em Aberto,Conta Corrente,2025,2,February,T1,0.0,1076.51,-1076.51,True,False,False,,0
2025-02-12,Despesa,Operacional,Software,Licença de software,Fornecedor Digital,Comercial,700.41,2025-03-04,2025-03-03,Pago,Conta Corrente,2025,2,February,T1,0.0,700.41,-700.41,False,True,False,-1.0,0
2025-02-13,Despesa,Administrativa,Serviços Terceirizados,Serviços jurídicos,Fornecedor Digital,Financeiro,1096.85,2025-03-15,2025-03-12,Pago,Conta Corrente,2025,2,February,T1,0.0,1096.85,-1096.85,False,True,False,-3.0,0
2025-02-13,Despesa,Administrativa,Material de Escritório,Material de escritório,Fornecedor Digital,TI,2802.34,2025-03-15,2025-03-15,Pago,Conta Digital,2025,2,February,T1,0.0,2802.34,-2802.34,False,True,False,0.0,0
2025-02-13,Despesa,Comercial,Marketing,Publicidade digital,Fornecedor Central,TI,618.6,2025-02-18,2025-02-13,Pago,Conta Corrente,2025,2,February,T1,0.0,618.6,-618.6,False,True,False,-5.0,0
2025-02-13,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Atlas,Operacional,554.7,2025-02-23,2025-02-18,Pago,Conta Digital,2025,2,February,T1,0.0,554.7,-554.7,False,True,False,-5.0,0
2025-02-14,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Delta,Projetos,7673.17,2025-03-01,2025-03-01,Recebido,Conta Digital,2025,2,February,T1,7673.17,0.0,7673.17,False,True,False,0.0,0
2025-02-15,Despesa,Administrativa,Serviços Terceirizados,Suporte técnico,Fornecedor Digital,Comercial,1014.32,2025-02-20,2025-02-19,Pago,Conta Investimento,2025,2,February,T1,0.0,1014.32,-1014.32,False,True,False,-1.0,0
2025-02-15,Despesa,Comercial,Marketing,Material institucional,Fornecedor Atlas,Financeiro,668.76,2025-03-17,2025-03-16,Pago,Conta Digital,2025,2,February,T1,0.0,668.76,-668.76,False,True,False,-1.0,0
2025-02-16,Despesa,Comercial,Marketing,Publicidade digital,Fornecedor Atlas,TI,1007.01,2025-03-03,2025-03-01,Pago,Conta Digital,2025,2,February,T1,0.0,1007.01,-1007.01,False,True,False,-2.0,0
2025-02-16,Despesa,Operacional,Energia,Conta de energia,Fornecedor Central,Financeiro,1645.07,2025-03-03,2025-03-01,Pago,Conta Investimento,2025,2,February,T1,0.0,1645.07,-1645.07,False,True,False,-2.0,0
2025-02-16,Despesa,Operacional,Energia,Conta de energia,Fornecedor Prime,TI,570.56,2025-04-02,2025-03-30,Pago,Conta Digital,2025,2,February,T1,0.0,570.56,-570.56,False,True,False,-3.0,0
2025-02-17,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Digital,Comercial,20171.2,2025-03-04,,Em Aberto,Conta Investimento,2025,2,February,T1,0.0,20171.2,-20171.2,True,False,False,,0
2025-02-17,Receita,Serviços,Projetos,Projeto de análise,Cliente Ômega,Projetos,7025.27,2025-04-03,2025-04-01,Recebido,Conta Corrente,2025,2,February,T1,7025.27,0.0,7025.27,False,True,False,-2.0,0
2025-02-18,Despesa,Financeira,Tarifas Bancárias,Tarifa bancária,Fornecedor Central,Comercial,187.85,2025-03-20,2025-03-19,Pago,Conta Digital,2025,2,February,T1,0.0,187.85,-187.85,False,True,False,-1.0,0
2025-02-18,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Prime,Administrativo,11212.03,2025-03-05,2025-03-03,Pago,Conta Digital,2025,2,February,T1,0.0,11212.03,-11212.03,False,True,False,-2.0,0
2025-02-19,Despesa,Administrativa,Serviços Terceirizados,Suporte técnico,Fornecedor Atlas,Financeiro,1934.38,2025-02-24,,Atrasado,Conta Corrente,2025,2,February,T1,0.0,1934.38,-1934.38,True,False,True,,0
2025-02-20,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Atlas,TI,939.37,2025-03-12,2025-03-12,Pago,Conta Corrente,2025,2,February,T1,0.0,939.37,-939.37,False,True,False,0.0,0
2025-02-20,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Beta,TI,2207.37,2025-03-22,,Em Aberto,Conta Digital,2025,2,February,T1,0.0,2207.37,-2207.37,True,False,False,,0
2025-02-20,Despesa,Operacional,Energia,Conta de energia,Fornecedor Prime,Comercial,3515.63,2025-03-22,,Em Aberto,Conta Investimento,2025,2,February,T1,0.0,3515.63,-3515.63,True,False,False,,0
2025-02-20,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Gama,Projetos,1249.2,2025-03-07,2025-03-04,Recebido,Conta Digital,2025,2,February,T1,1249.2,0.0,1249.2,False,True,False,-3.0,0
2025-02-21,Despesa,Comercial,Marketing,Material institucional,Fornecedor Digital,Financeiro,724.25,2025-04-22,2025-04-22,Pago,Conta Digital,2025,2,February,T1,0.0,724.25,-724.25,False,True,False,0.0,0
2025-02-21,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Digital,Operacional,1620.36,2025-03-23,2025-03-22,Pago,Conta Investimento,2025,2,February,T1,0.0,1620.36,-1620.36,False,True,False,-1.0,0
2025-02-21,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Prime,Operacional,24382.42,2025-03-23,2025-03-23,Pago,Conta Investimento,2025,2,February,T1,0.0,24382.42,-24382.42,False,True,False,0.0,0
2025-02-22,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Atlas,TI,526.43,2025-03-04,2025-02-27,Pago,Conta Digital,2025,2,February,T1,0.0,526.43,-526.43,False,True,False,-5.0,0
2025-02-22,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Beta,Operacional,687.85,2025-03-24,2025-03-19,Pago,Conta Corrente,2025,2,February,T1,0.0,687.85,-687.85,False,True,False,-5.0,0
2025-02-22,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Beta,Consultoria,8776.79,2025-03-14,,Em Aberto,Conta Corrente,2025,2,February,T1,8776.79,0.0,8776.79,True,False,False,,0
2025-02-22,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Gama,Consultoria,3991.1,2025-04-08,,Cancelado,Conta Corrente,2025,2,February,T1,3991.1,0.0,3991.1,False,False,False,,0
2025-02-22,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Ômega,Comercial,6238.03,2025-03-04,,Em Aberto,Conta Investimento,2025,2,February,T1,6238.03,0.0,6238.03,True,False,False,,0
2025-02-22,Receita,Serviços,Projetos,Projeto de implantação,Cliente Ômega,Projetos,9966.14,2025-03-24,2025-03-19,Recebido,Conta Investimento,2025,2,February,T1,9966.14,0.0,9966.14,False,True,False,-5.0,0
2025-02-23,Despesa,Administrativa,Serviços Terceirizados,Serviços jurídicos,Fornecedor Atlas,Administrativo,548.34,2025-03-25,2025-03-22,Pago,Conta Digital,2025,2,February,T1,0.0,548.34,-548.34,False,True,False,-3.0,0
2025-02-23,Despesa,Administrativa,Serviços Terceirizados,Serviços contábeis,Fornecedor Beta,Administrativo,507.68,2025-04-09,,Em Aberto,Conta Investimento,2025,2,February,T1,0.0,507.68,-507.68,True,False,False,,0
2025-02-23,Despesa,Financeira,Juros,Juros e encargos,Fornecedor Prime,Operacional,1205.29,2025-03-10,,Em Aberto,Conta Investimento,2025,2,February,T1,0.0,1205.29,-1205.29,True,False,False,,0
2025-02-23,Despesa,Operacional,Software,Licença de software,Fornecedor Prime,Financeiro,1027.81,2025-03-15,2025-03-13,Pago,Conta Digital,2025,2,February,T1,0.0,1027.81,-1027.81,False,True,False,-2.0,0
2025-02-23,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Beta,TI,16533.84,2025-02-28,2025-02-27,Pago,Conta Corrente,2025,2,February,T1,0.0,16533.84,-16533.84,False,True,False,-1.0,0
2025-02-23,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Gama,Projetos,2374.95,2025-03-25,,Em Aberto,Conta Digital,2025,2,February,T1,2374.95,0.0,2374.95,True,False,False,,0
2025-02-23,Receita,Serviços,Consultoria,Consultoria financeira,Cliente Gama,Comercial,4195.63,2025-03-10,,Em Aberto,Conta Investimento,2025,2,February,T1,4195.63,0.0,4195.63,True,False,False,,0
2025-02-24,Receita,Outras Receitas,Recuperação de Créditos,Recuperação de valores,Cliente Ômega,Comercial,5324.91,2025-04-25,2025-04-22,Recebido,Conta Corrente,2025,2,February,T1,5324.91,0.0,5324.91,False,True,False,-3.0,0
2025-02-26,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Digital,Operacional,2612.34,2025-03-18,2025-03-18,Pago,Conta Investimento,2025,2,February,T1,0.0,2612.34,-2612.34,False,True,False,0.0,0
2025-02-27,Despesa,Administrativa,Serviços Terceirizados,Serviços contábeis,Fornecedor Atlas,Comercial,666.25,2025-03-14,2025-03-14,Pago,Conta Corrente,2025,2,February,T1,0.0,666.25,-666.25,False,True,False,0.0,0
2025-02-27,Despesa,Impostos,Tributos,Tributos sobre faturamento,Fornecedor Central,TI,6572.05,2025-03-19,2025-03-19,Pago,Conta Corrente,2025,2,February,T1,0.0,6572.05,-6572.05,False,True,False,0.0,0
2025-02-27,Despesa,Operacional,Internet,Internet empresarial,Fornecedor Beta,Administrativo,3255.39,2025-04-13,2025-04-11,Pago,Conta Digital,2025,2,February,T1,0.0,3255.39,-3255.39,False,True,False,-2.0,0
2025-02-27,Despesa,Operacional,Software,Ferramenta de produtividade,Fornecedor Beta,Comercial,663.11,2025-03-04,,Em Aberto,Conta Digital,2025,2,February,T1,0.0,663.11,-663.11,True,False,False,,0
2025-02-27,Despesa,Pessoal,Salários,Folha de pagamento,Fornecedor Central,RH,22474.98,2025-04-13,2025-04-12,Pago,Conta Investimento,2025,2,February,T1,0.0,22474.98,-22474.98,False,True,False,-1.0,0
